search URL:,https://patents.google.com/?q=autonomous+vehicle&country=US&after=priority:20120101
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link
US20150344136A1,Mobile computing device-based guidance navigation and control for unmanned aerial vehicles and robotic systems ,"Working Drones, Inc.",Robert L. Dahlstrom,2014-06-03,2015-06-03,2015-12-03,,https://patents.google.com/patent/US20150344136A1/en
US20150106010A1,Aerial data for vehicle navigation ,"Ford Global Technologies, Llc","Douglas R. Martin, Kenneth J. Miller",2013-10-15,2013-10-15,2015-04-16,,https://patents.google.com/patent/US20150106010A1/en
US20150312774A1,Autonomous robot-assisted indoor wireless coverage characterization platform ,The Hong Kong University Of Science And Technology,Vincent Kin Nang Lau,2014-04-25,2015-04-23,2015-10-29,,https://patents.google.com/patent/US20150312774A1/en
US20150057903A1,Trailer heading angle using vehicle wheel speed sensors ,Ford Global Technologies,"Doug Scott Rhode, Darrel Alan Recker, Erick Michael Lavoie",2013-08-26,2013-08-26,2015-02-26,,https://patents.google.com/patent/US20150057903A1/en
US9229453B1,Unified motion planner for autonomous driving vehicle in avoiding the moving obstacle ,GM Global Technology Operations LLC,Jin-woo Lee,2014-08-29,2014-08-29,2016-01-05,2016-01-05,https://patents.google.com/patent/US9229453B1/en
US20150134178A1,Autonomous mode vehicle control system and vehicle comprising such a control system ,Renault S.A.S.,Nicoleta Minoiu-Enache,2012-04-05,2013-04-04,2015-05-14,,https://patents.google.com/patent/US20150134178A1/en
US20130211646A1,Control apparatus of unmanned autonomous operating vehicle ,"Honda Motor Co., Ltd.","Makoto Yamamura, Toshiaki Kawakami",2012-02-10,2013-02-07,2013-08-15,,https://patents.google.com/patent/US20130211646A1/en
US8909428B1,Detecting driver grip on steering wheel ,Google Inc.,Peter Craig Lombrozo,2013-01-09,2013-01-09,2014-12-09,2014-12-09,https://patents.google.com/patent/US8909428B1/en
US9422139B1,Method of actively controlling winch swing via modulated uptake and release ,Google Inc.,"Joshua John Bialkowski, John Roberts, Abraham Bachrach",2014-05-19,2014-05-19,2016-08-23,2016-08-23,https://patents.google.com/patent/US9422139B1/en
US20160244165A1,Mechanisms for Lowering a Payload to the Ground from a UAV ,Google Inc.,"William Graham Patrick, James Ryan Burgess, Andrew Conrad",2013-08-26,2016-05-05,2016-08-25,,https://patents.google.com/patent/US20160244165A1/en
US9390451B1,Insurance system related to a vehicle-to-vehicle communication system ,Allstate Insurance Company,Mark V. Slusar,2014-01-24,2014-01-24,2016-07-12,2016-07-12,https://patents.google.com/patent/US9390451B1/en
US20130274985A1,System and method for vehicle lateral control ,GM Global Technology Operations LLC,"Jin-woo Lee, Bakhtiar Brian Litkouhi",2012-04-16,2012-04-16,2013-10-17,,https://patents.google.com/patent/US20130274985A1/en
US20150115571A1,Smart tow ,GM Global Technology Operations LLC,"Wende Zhang, James N. Nickolaou, Ryan M. Frakes",2013-10-24,2014-09-03,2015-04-30,,https://patents.google.com/patent/US20150115571A1/en
US8798841B1,System and method for improving sensor visibility of vehicle in autonomous driving mode ,GM Global Technology Operations LLC,"James N. Nickolaou, Joel Pazhayampallil, Michael P. Turski",2013-03-14,2013-03-14,2014-08-05,2014-08-05,https://patents.google.com/patent/US8798841B1/en
US9340228B2,Trailer motion and parameter estimation system ,"Ford Global Technologies, Llc","Li Xu, Eric Hongtei Tseng, Thomas Edward Pilutti, Steven Yellin Schondorf, Davor David Hrovat, John P. Joyce",2014-10-13,2014-10-13,2016-05-17,2016-05-17,https://patents.google.com/patent/US9340228B2/en
US20140121930A1,Method and Apparatus for Controlling a Parking Process of a Vehicle ,"Ford Global Technologies, Llc","Gregor Allexi, Claudia Kunze, Torsten Wey, Mike John Mould, Stefan Kappes, Mithat Ceylan",2012-10-26,2013-10-25,2014-05-01,,https://patents.google.com/patent/US20140121930A1/en
US20160231746A1,System And Method To Operate An Automated Vehicle ,"Delphi Technologies, Inc.","Lawrence Dean Hazelton, Craig A. Baldwin, Robert James Myers, James M. Chan, Patrick Mitchell Griffin",2015-02-06,2015-12-30,2016-08-11,,https://patents.google.com/patent/US20160231746A1/en
US20150268665A1,Vehicle communication using audible signals ,Google Inc.,"Christopher Ludwick, Clifford Ivar Nass, David I. Ferguson",2013-11-07,2013-11-07,2015-09-24,,https://patents.google.com/patent/US20150268665A1/en
US9302770B2,Payload-release device and operation thereof ,Google Inc.,"James Ryan Burgess, Joanna Cohen",2014-08-28,2015-10-05,2016-04-05,2016-04-05,https://patents.google.com/patent/US9302770B2/en
US20140303847A1,Object avoidance for a trailer backup assist system ,"Ford Global Technologies, Llc",Erick Michael Lavoie,2013-02-04,2014-06-20,2014-10-09,,https://patents.google.com/patent/US20140303847A1/en
